AOSNUMBER,Agency,Type of LEA,Summary,Type of Juris,Technology,Vendor
AOS012552,Dresden Police Department,Police,The Dresden Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012553,Parsons Police Department,Police,The Parsons Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012554,South Pittsburg Police Department,Police,The South Pittsburg Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012555,Westmoreland Police Department,Police,The Westmoreland Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012556,Ardmore Police Department,Police,The Ardmore Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012557,Bean Station Police Department,Police,The Bean Station Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012558,Dyer Police Department,Police,The Dyer Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012559,Estill Springs Police Department,Police,The Estill Springs Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012560,Monteagle Police Department,Police,The Monteagle Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012561,Mount Carmel Police Department,Police,The Mount Carmel Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012562,Norris Police Department,Police,The Norris Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012563,Piperton Police Department,Police,The Piperton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012564,Ridgetop Police Department,Police,The Ridgetop Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012565,Rocky Top Police Department,Police,The Rocky Top Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012566,Rossville Police Department,Police,The Rossville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012567,Tazewell Police Department,Police,The Tazewell Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012568,Tiptonville Police Department,Police,The Tiptonville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012569,Adamsville Police Department,Police,The Adamsville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012570,Baxter Police Department,Police,The Baxter Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012571,Chapel Hill Police Department,Police,The Chapel Hill Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012572,Clifton Police Department,Police,The Clifton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012573,Decatur Police Department,Police,The Decatur Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012574,Gallaway Police Department,Police,The Gallaway Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012575,Gordonsville Police Department,Police,The Gordonsville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012576,Jacksboro Police Department,Police,The Jacksboro Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012577,Jellico Police Department,Police,The Jellico Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012578,Pleasant View Police Department,Police,The Pleasant View Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012579,Dover Police Department,Police,The Dover Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012580,Englewood Tennessee Police Department,Police,The Englewood Tennessee Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012581,Erin Police Department,Police,The Erin Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012582,Halls Police Department,Police,The Halls Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012583,Loretto Police Department,Police,The Loretto Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012584,Mcewen Police Department,Police,The Mcewen Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012585,New Johnsonville Police Department,Police,The New Johnsonville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012586,Red Boiling Springs Police Department,Police,The Red Boiling Springs Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012587,Ridgely Police Department,Police,The Ridgely Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012588,Tellico Plains Police Department,Police,The Tellico Plains Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012589,Tracy City Police Department,Police,The Tracy City Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012590,Troy Police Department,Police,The Troy Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012591,Wartburg Police Department,Police,The Wartburg Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012592,White Bluff Police Department,Police,The White Bluff Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012593,Whiteville Police Department,Police,The Whiteville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012594,Maynardville Police Department,Police,The Maynardville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012595,Townsend Police Department,Police,The Townsend Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012596,Alamo Police Department,Police,The Alamo Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012597,Bells Police Department,Police,The Bells Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012598,Blaine Police Department,Police,The Blaine Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012599,Bruceton Police Department,Police,The Bruceton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012600,Collinwood Police Department,Police,The Collinwood Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012601,Crump Police Department,Police,The Crump Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012602,Graysville Police Department,Police,The Graysville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012603,Watertown Police Department,Police,The Watertown Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012604,Baileyton Police Department,Police,The Baileyton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012605,Calhoun Police Department,Police,The Calhoun Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012606,Charleston Police Department,Police,The Charleston Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012607,Coopertown Police Department,Police,The Coopertown Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012608,Eagleville Police Department,Police,The Eagleville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012609,Grand Junction Police Department,Police,The Grand Junction Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012610,Kenton Police Department,Police,The Kenton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012611,Middleton Police Department,Police,The Middleton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012612,Niota Police Department,Police,The Niota Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012613,Pikeville Police Department,Police,The Pikeville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012614,Pittman Center Police Department,Police,The Pittman Center Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012615,Rutledge Police Department,Police,The Rutledge Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012616,Scotts Hill Police Department,Police,The Scotts Hill Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012617,Trezevant Police Department,Police,The Trezevant Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012618,Alexandria Police Department,Police,The Alexandria Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012619,Gleason Police Department,Police,The Gleason Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012620,Greenfield Police Department,Police,The Greenfield Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012621,Bell Buckle Police Department,Police,The Bell Buckle Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012622,Cornersville Police Department,Police,The Cornersville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012623,Elkton Police Department,Police,The Elkton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012624,Huntland Police Department,Police,The Huntland Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012625,Minor Hill Police Department,Police,The Minor Hill Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012626,Plainview Police Department,Police,The Plainview Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012627,Powells Crossroads Police Department,Police,The Powells Crossroads Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012628,Sharon Police Department,Police,The Sharon Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012629,Spencer Police Department,Police,The Spencer Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012630,Cowan Police Department,Police,The Cowan Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012631,Ethridge Police Department,Police,The Ethridge Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012632,Gibson Police Department,Police,The Gibson Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012633,Tusculum Police Department,Police,The Tusculum Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012634,Big Sandy Police Department,Police,The Big Sandy Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012635,Burns Police Department,Police,The Burns Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012636,Decaturville Police Department,Police,The Decaturville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012637,Friendship Police Department,Police,The Friendship Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012638,Puryear Police Department,Police,The Puryear Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012639,Trimble Police Department,Police,The Trimble Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012640,Henry Police Department,Police,The Henry Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012641,Hollow Rock Police Department,Police,The Hollow Rock Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012642,Saint Joseph Police Department,Police,The Saint Joseph Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012643,Surgoinsville Police Department,Police,The Surgoinsville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012644,Hickory Valley Police Department,Police,The Hickory Valley Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012645,Gates Police Department,Police,The Gates Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012646,Maury City Police Department,Police,The Maury City Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012647,Jackson Police Department,Police,The Jackson Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012648,Lavergne Police Department,Police,The Lavergne Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012649,Moscow Police Department,Police,The Moscow Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012650,Morristown Police Department,Police,The Morristown Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012651,Brighton Police Department,Police,The Brighton Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012652,Clarksburg Police Department,Police,The Clarksburg Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012653,Lakewood Police Department,Police,The Lakewood Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012654,Algood Police Department,Police,The Algood Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012655,Mount Juliet Police Department,Police,The Mount Juliet Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012656,Copperhill Police Department,Police,The Copperhill Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012657,Cumberland City Police Department,Police,The Cumberland City Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012658,Hornsby Police Department,Police,The Hornsby Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012659,New Hope Police Department,Police,The New Hope Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012660,Bradford Police Department,Police,The Bradford Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012661,Caryville Police Department,Police,The Caryville Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012662,Henning Police Department,Police,The Henning Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012663,Jamestown Police Department,Police,The Jamestown Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012664,Kingston Springs Police Department,Police,The Kingston Springs Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012665,New Market Police Department,Police,The New Market Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012666,Obion Police Department,Police,The Obion Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012667,Rutherford Police Department,Police,The Rutherford Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012668,South Carthage Police Department,Police,The South Carthage Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012669,Waynesboro Police Department,Police,The Waynesboro Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012670,Sweetwater Police Department,Police,The Sweetwater Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012671,Whitwell Police Department,Police,The Whitwell Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012672,Oak Ridge Police Department,Police,The Oak Ridge Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012673,Tennessee Highway Patrol,Highway Patrol,The Tennessee Highway Patrol has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Statewide,Third-party Investigative Platforms,SoundThinking
AOS012674,Toone Police Department,Police,The Toone Police Department has access to SoundThinking's CrimeTracer (formerly Coplink X) investigative platform through a statewide contract announced in April 2021.,Municipal,Third-party Investigative Platforms,SoundThinking
AOS012675,First Judicial District Attorney General's Office,District Attorney, The First Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012676,Second Judicial District Attorney General's Office,District Attorney, The Second Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012677,Third Judicial District Attorney General's Office,District Attorney, The Third Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012678,Fourth Judicial District Attorney General's Office,District Attorney, The Fourth Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012679,Fifth Judicial District Attorney General's Office,District Attorney, The Fifth Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012680,Sixth Judicial District Attorney General's Office,District Attorney, The Sixth Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012681,Seventh Judicial District Attorney General's Office,District Attorney, The Seventh Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012682,Eighth Judicial District Attorney General's Office,District Attorney, The Eighth Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012683,Ninth Judicial District Attorney General's Office,District Attorney, The Ninth Judicial District Attorney General's Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012684,10th Judicial District Attorneys Office,District Attorney, The 10th Judicial District Attorneys Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
AOS012685,11th Judicial District Attorneys Office,District Attorney, The 11th Judicial District Attorneys Office recieved a single user account for LexisNexis' Accurint Virtual Crime Center through its membership in the Colorado Information Sharing Consortium,Judicial District,Third-party Investigative Platforms,SoundThinking
