AOSNUMBER,City,County,State
AOS012854,Lowell,Lowell County,MA
AOS012855,Fall River,Fall River County,MA
AOS012856,Quincy,Quincy County,MA
AOS012857,Brockton,Brockton County,MA
AOS012858,Lynn,Lynn County,MA
AOS012859,Newton,Newton County,MA
AOS012860,Waltham,Waltham County,MA
AOS012861,Chicopee,Chicopee County,MA
AOS012862,Lawrence,Lawrence County,MA
AOS012863,Framingham,Framingham County,MA
AOS012864,Somerville,Somerville County,MA
AOS012865,Everett,Everett County,MA
AOS012866,Plymouth,Plymouth County,MA
AOS012867,Hyannis,Hyannis County,MA
AOS012868,Taunton,Taunton County,MA
AOS012869,Chelsea,Chelsea County,MA
AOS012870,Medford,Medford County,MA
AOS012871,Revere,Revere County,MA
AOS012872,Weymouth,Weymouth County,MA
AOS012873,Methuen,Methuen County,MA
AOS012874,Haverhill,Haverhill County,MA
AOS012875,Peabody,Peabody County,MA
AOS012876,Pittsfield,Pittsfield County,MA
AOS012877,Braintree,Braintree County,MA
AOS012878,West Springfield,West Springfield County,MA
AOS012879,Westfield,Westfield County,MA
AOS012880,Woburn,Woburn County,MA
AOS012881,Leominster,Leominster County,MA
AOS012882,Beverly,Beverly County,MA
AOS012883,Arlington,Arlington County,MA
AOS012884,Burlington,Burlington County,MA
AOS012885,Marlborough,Marlborough County,MA
AOS012886,Billerica,Billerica County,MA
AOS012887,Northampton,Northampton County,MA
AOS012888,Stoughton,Stoughton County,MA
AOS012889,Norwood,Norwood County,MA
AOS012890,West Yarmouth,West Yarmouth County,MA
AOS012891,Tewksbury,Tewksbury County,MA
AOS012892,Randolph,Randolph County,MA
AOS012893,Natick,Natick County,MA
AOS012894,Dedham,Dedham County,MA
AOS012895,Falmouth,Falmouth County,MA
AOS012896,Feeding Hills,Feeding Hills County,MA
AOS012897,Andover,Andover County,MA
AOS012898,Hingham,Hingham County,MA
AOS012899,Milton,Milton County,MA
AOS012900,Needham,Needham County,MA
AOS012901,Milford,Milford County,MA
AOS012902,Wilmington,Wilmington County,MA
AOS012903,Buzzards Bay,Buzzards Bay County,MA
AOS012904,Lexington,Lexington County,MA
AOS012905,Shrewsbury,Shrewsbury County,MA
AOS012906,Westford,Westford County,MA
AOS012907,Amherst,Amherst County,MA
AOS012908,Danvers,Danvers County,MA
AOS012909,South Dennis,South Dennis County,MA
AOS012910,Wellesley,Wellesley County,MA
AOS012911,Melrose,Melrose County,MA
AOS012912,Canton,Canton County,MA
AOS012913,North Attleboro,North Attleboro County,MA
AOS012914,Wareham,Wareham County,MA
AOS012915,Middleboro,Middleboro County,MA
AOS012916,Bridgewater,Bridgewater County,MA
AOS012917,Nantucket,Nantucket County,MA
AOS012918,Stoneham,Stoneham County,MA
AOS012919,Ludlow,Ludlow County,MA
AOS012920,Auburn,Auburn County,MA
AOS012921,North Andover,North Andover County,MA
AOS012922,Winchester,Winchester County,MA
AOS012923,North Easton,North Easton County,MA
AOS012924,Seekonk,Seekonk County,MA
AOS012925,Concord,Concord County,MA
AOS012926,Mansfield,Mansfield County,MA
AOS012927,Sandwich,Sandwich County,MA
AOS012928,Scituate,Scituate County,MA
AOS012929,Winthrop,Winthrop County,MA
AOS012930,Greenfield,Greenfield County,MA
AOS012931,Harwich,Harwich County,MA
AOS012932,Amesbury,Amesbury County,MA
AOS012933,Fairhaven,Fairhaven County,MA
AOS012934,Newburyport,Newburyport County,MA
AOS012935,Marblehead,Marblehead County,MA
AOS012936,Mashpee,Mashpee County,MA
AOS012937,Somerset,Somerset County,MA
AOS012938,Swampscott,Swampscott County,MA
AOS012939,Swansea,Swansea County,MA
AOS012940,Abington,Abington County,MA
AOS012941,Gardner,Gardner County,MA
AOS012942,North Reading,North Reading County,MA
AOS012943,Pembroke,Pembroke County,MA
AOS012944,Sharon,Sharon County,MA
AOS012945,Duxbury,Duxbury County,MA
AOS012946,Hanover,Hanover County,MA
AOS012947,Norton,Norton County,MA
AOS012948,Westport,Westport County,MA
AOS012949,Clinton,Clinton County,MA
AOS012950,Ashland,Ashland County,MA
AOS012951,Longmeadow,Longmeadow County,MA
AOS012952,Raynham,Raynham County,MA
AOS012953,Rehoboth,Rehoboth County,MA
AOS012954,South Hadley,South Hadley County,MA
AOS012955,Tyngsboro,Tyngsboro County,MA
AOS012956,Wilbraham,Wilbraham County,MA
AOS012957,North Adams,North Adams County,MA
AOS012958,Whitman,Whitman County,MA
AOS012959,Kingston,Kingston County,MA
AOS012960,Weston,Weston County,MA
AOS012961,East Longmeadow,East Longmeadow County,MA
AOS012962,Brewster,Brewster County,MA
AOS012963,Holliston,Holliston County,MA
AOS012964,Medway,Medway County,MA
AOS012965,Norwell,Norwell County,MA
AOS012966,Lynnfield,Lynnfield County,MA
AOS012967,Northborough,Northborough County,MA
AOS012968,Orleans,Orleans County,MA
AOS012969,Oxford,Oxford County,MA
AOS012970,West Bridgewater,West Bridgewater County,MA
AOS012971,Leicester,Leicester County,MA
AOS012972,Palmer,Palmer County,MA
AOS012973,Hanson,Hanson County,MA
AOS012974,Maynard,Maynard County,MA
AOS012975,Acushnet,Acushnet County,MA
AOS012976,Ayer,Ayer County,MA
AOS012977,Millbury,Millbury County,MA
AOS012978,Groton,Groton County,MA
AOS012979,Ware,Ware County,MA
AOS012980,Charlton,Charlton County,MA
AOS012981,Belchertown,Belchertown County,MA
AOS012982,Edgartown,Edgartown County,MA
AOS012983,Provincetown,Provincetown County,MA
AOS012984,Sturbridge,Sturbridge County,MA
AOS012985,Uxbridge,Uxbridge County,MA
AOS012986,East Freetown,East Freetown County,MA
AOS012987,Littleton,Littleton County,MA
AOS012988,Norfolk,Norfolk County,MA
AOS012989,Wrentham,Wrentham County,MA
AOS012990,Lakeville,Lakeville County,MA
AOS012991,Medfield,Medfield County,MA
AOS012992,Oak Bluffs,Oak Bluffs County,MA
AOS012993,Great Barrington,Great Barrington County,MA
AOS012994,Millis,Millis County,MA
AOS012995,Rockport,Rockport County,MA
AOS012996,Southborough,Southborough County,MA
AOS012997,Southwick,Southwick County,MA
AOS012998,Spencer,Spencer County,MA
AOS012999,Dover,Dover County,MA
AOS013000,Eastham,Eastham County,MA
AOS013001,Lunenburg,Lunenburg County,MA
AOS013002,Marion,Marion County,MA
AOS013003,Middleton,Middleton County,MA
AOS013004,Salisbury,Salisbury County,MA
AOS013005,Sutton,Sutton County,MA
AOS013006,Douglas,Douglas County,MA
AOS013007,Hadley,Hadley County,MA
AOS013008,Pepperell,Pepperell County,MA
AOS013009,Wellfleet,Wellfleet County,MA
AOS013010,Winchendon,Winchendon County,MA
AOS013011,Avon,Avon County,MA
AOS013012,Berkley,Berkley County,MA
AOS013013,Boxborough,Boxborough County,MA
AOS013014,Georgetown,Georgetown County,MA
AOS013015,Lincoln,Lincoln County,MA
AOS013016,Manchester By The Sea,Manchester By The Sea County,MA
AOS013017,Orange,Orange County,MA
AOS013018,Rutland,Rutland County,MA
AOS013019,Sterling,Sterling County,MA
AOS013020,Vineyard Haven,Vineyard Haven County,MA
AOS013021,Upton,Upton County,MA
AOS013022,Westminster,Westminster County,MA
AOS013023,Bolton,Bolton County,MA
AOS013024,Boxford,Boxford County,MA
AOS013025,Hopedale,Hopedale County,MA
AOS013026,Nahant,Nahant County,MA
AOS013027,Rochester,Rochester County,MA
AOS013028,Rowley,Rowley County,MA
AOS013029,Hampden,Hampden County,MA
AOS013030,Lancaster,Lancaster County,MA
AOS013031,Lee,Lee County,MA
AOS013032,Shirley,Shirley County,MA
AOS013033,Stow,Stow County,MA
AOS013034,Topsfield,Topsfield County,MA
AOS013035,Williamstown,Williamstown County,MA
AOS013036,Berlin,Berlin County,MA
AOS013037,Carlisle,Carlisle County,MA
AOS013038,Dalton,Dalton County,MA
AOS013039,Granby,Granby County,MA
AOS013040,Lenox,Lenox County,MA
AOS013041,Wenham,Wenham County,MA
AOS013042,Barre,Barre County,MA
AOS013043,Essex,Essex County,MA
AOS013044,Harvard,Harvard County,MA
AOS013045,Templeton,Templeton County,MA
AOS013046,West Tisbury,West Tisbury County,MA
AOS013047,Dunstable,Dunstable County,MA
AOS013048,Merrimac,Merrimac County,MA
AOS013049,West Newbury,West Newbury County,MA
AOS013050,Ashby,Ashby County,MA
AOS013051,Stockbridge,Stockbridge County,MA
AOS013052,Hubbardston,Hubbardston County,MA
AOS013053,Southampton,Southampton County,MA
AOS013054,Warren,Warren County,MA
AOS013055,North Brookfield,North Brookfield County,MA
AOS013056,West Brookfield,West Brookfield County,MA
AOS013057,Lanesboro,Lanesboro County,MA
AOS013058,Millville,Millville County,MA
AOS013059,Princeton,Princeton County,MA
AOS013060,Erving,Erving County,MA
AOS013061,Sunderland,Sunderland County,MA
AOS013062,Brookfield,Brookfield County,MA
AOS013063,Chilmark,Chilmark County,MA
AOS013064,Hardwick,Hardwick County,MA
AOS013065,Aquinnah,Aquinnah County,MA
AOS013066,Becket,Becket County,MA
AOS013067,South Egremont,South Egremont County,MA
AOS013068,East Brookfield,East Brookfield County,MA
AOS013069,Bernardston,Bernardston County,MA
AOS013070,Hatfield,Hatfield County,MA
AOS013071,Hinsdale,Hinsdale County,MA
AOS013072,Shelburne Falls,Shelburne Falls County,MA
AOS013073,Shutesbury,Shutesbury County,MA
AOS013074,Goshen,Goshen County,MA
AOS013075,Monterey,Monterey County,MA
AOS013076,Shelburne Falls,Shelburne Falls County,MA
AOS013077,Gill,Gill County,MA
AOS013078,Leverett,Leverett County,MA
AOS013079,Mill River,Mill River County,MA
AOS013080,Pelham,Pelham County,MA
AOS013081,Petersham,Petersham County,MA
AOS013082,Holland,Holland County,MA
AOS013083,Westfield,Westfield County,MA
AOS013084,Cheshire,Cheshire County,MA
AOS013085,Clarksburg,Clarksburg County,MA
AOS013086,Cummington,Cummington County,MA
AOS013087,Ashfield,Ashfield County,MA
AOS013088,Huntington,Huntington County,MA
AOS013089,Royalston,Royalston County,MA
AOS013090,Haydenville,Haydenville County,MA
AOS013091,Chesterfield,Chesterfield County,MA
AOS013092,Otis,Otis County,MA
AOS013093,Hinsdale,Hinsdale County,MA
AOS013094,Warwick,Warwick County,MA
AOS013095,Westhampton,Westhampton County,MA
AOS013096,Brimfield,Brimfield County,MA
AOS013097,Wales,Wales County,MA
AOS013098,Belmont,Belmont County,MA
AOS013099,Phillipston,Phillipston County,MA
AOS013100,Fitchburg,Fitchburg County,MA
AOS013101,Chatham,Chatham County,MA
AOS013102,Sherborn,Sherborn County,MA
AOS013103,Boylston,Boylston County,MA
AOS013104,Boston,Boston County,MA
AOS013105,Hudson,Hudson County,MA
AOS013106,Walpole,Walpole County,MA
AOS013107,Dracut,Dracut County,MA
AOS013108,Bedford,Bedford County,MA
AOS013109,Attleboro,Attleboro County,MA
AOS013110,Dudley,Dudley County,MA
AOS013111,Ipswich,Ipswich County,MA
AOS013112,Brookline,Brookline County,MA
AOS013113,Framingham,Framingham County,MA
AOS013114,South Dartmouth,South Dartmouth County,MA
AOS013115,Reading,Reading County,MA
AOS013116,Rockland,Rockland County,MA
AOS013117,Northfield,Northfield County,MA
AOS013118,Sandisfield,Sandisfield County,MA
AOS013119,West Stockbridge,West Stockbridge County,MA
AOS013120,Charlemont,Charlemont County,MA
AOS013121,Colrain,Colrain County,MA
AOS013122,Heath,Heath County,MA
AOS013123,Conway,Conway County,MA
AOS013124,Whately,Whately County,MA
AOS013125,South Deerfield,South Deerfield County,MA
AOS013126,Dighton,Dighton County,MA
AOS013127,Mendon,Mendon County,MA
AOS013128,West Boylston,West Boylston County,MA
AOS013129,Holyoke,Holyoke County,MA
AOS013130,Worcester,Worcester County,MA
AOS013131,Russell,Russell County,MA
AOS013132,Worthington,Worthington County,MA
AOS013133,Hancock,Hancock County,MA
AOS013194,Sacramento,Sacramento County,CA
AOS013195,,San Diego County,CA
AOS013196,Carlsbad,San Diego County,CA
AOS013197,Chula Vista,San Diego County,CA
AOS013198,Coronado,San Diego County,CA
AOS013199,El Jason,San Diego County,CA
AOS013200,Escondido,San Diego County,CA
AOS013201,La Mesa,San Diego County,CA
AOS013202,Oceanside,San Diego County,CA
AOS013203,National City,San Diego County,CA
AOS013204,Oceanside,San Diego County,CA
AOS013205,San Marcos,San Diego County,CA
AOS013206,San Diego,San Diego County,CA
AOS013207,San Diego,San Diego County,CA
AOS013208,San Diego,San Diego County,CA
AOS013209,San Diego,San Diego County,CA
AOS013210,San Diego,San Diego County,CA
AOS013211,San Diego,San Diego County,CA
AOS013212,San Diego,San Diego County,CA
AOS013213,El Cajon,San Diego County,CA
AOS013214,San Diego,San Diego County,CA
AOS013235,Anaheim,Orange County,CA
AOS013236,Ceres,Stanislaus County,CA
AOS013237,Chicago,Cook County,IL
AOS013238,Marietta,Cobb County,GA
AOS013239,Cypress,Orange County,CA
AOS013240,Eugene,Lane County,WA
AOS013241,Houston,Harris County,TX
AOS013242,Kansas City,Jackson County,MO
AOS013243,Mesa,Maricopa County,AZ
AOS013244,Salinas,Monterey County,CA
AOS013245,Morgan Hill,Santa Clara County,CA
AOS013246,Newark,Alameda County,CA
AOS013247,Oakland,Alameda County,CA
AOS013248,Santa Ana,Orange County,CA
AOS013249,Pacific Grove,Monterey County,CA
AOS013250,Scottsdale,Maricopa County,AZ
AOS013251,Seal Beach,Orange County,CA
AOS013252,Spokane,Spokane County,WA
AOS013274,Los Angeles,Los Angeles County,CA
AOS013275,Las Cruces,NM,NM
AOS013276,Milton,Fulton County,GA
AOS009970,Brookhaven,DeKalb County,GA
AOS011257,Ardmore,Carter County,OK
AOS002299,Land O' Lakes,Pasco County,FL
AOS012328,Santa Cruz,Santa Cruz County,CA
AOS000727,El Paso,El Paso County,TX
AOS000731,Edinburg,Hidalgo County,TX
AOS000733,Edinburg,Hidalgo County,TX
AOS000734,Hidalgo,Hidalgo County,TX
AOS000735,Pharr,Hidalgo County,TX
AOS002322,Pompano Beach,Broward County,FL
AOS003618,Albuquerque,Bernalillo County,NM
AOS008722,Doral,Miami-Dade County,FL
AOS000002,Rockford,"Ogle County, Winnebago County",IL
AOS000003,Atlanta,"DeKalb County, Fulton County",GA
AOS000004,Peoria,Peoria County,IL
AOS000005,Goldsboro,Wayne County,NC
AOS000006,Rochester,Monroe County,NY
AOS000007,Pittsburgh,Allegheny County,PA
AOS000028,East Chicago,Lake County,IN
AOS000030,Doral,Miami-Dade County,FL
AOS000031,Miami,Miami-Dade County,FL
AOS000036,Calumet City,Cook County,IL
AOS000045,Newburgh,Orange County,NY
AOS000054,Paterson,Passaic County,NJ
AOS000073,Saginaw,Saginaw County,MI
AOS000078,Bakersfield,Kern County,CA
AOS000116,West Palm Beach,Palm Beach County,FL
AOS000140,San Pablo,Contra Costa County,CA
AOS000142,Stockton,San Joaquin County,CA
AOS000208,West Palm Beach,Palm Beach County,FL
AOS000213,Las Vegas,Clark County,NV
AOS000214,Fort Myers,Lee County,FL
AOS000215,Hartford,Hartford County,CT
AOS000715,San Diego,San Diego County,CA
AOS001179,Mobile,Mobile County,AL
AOS001568,Aurora,Kane County,IL
AOS001912,Cape Girardeau.,Cape Girardeau and Scott County,MO
AOS001933,Houston,Harris County,TX
AOS001941,Mobile,Mobile County,AL
AOS002508,Durham,Durham County,NC
AOS002858,Mobile,Mobile County,AL
AOS002876,Fayetteville,Cumberland County,NC
AOS004424,Trenton,Mercer County,NJ
AOS004426,Newport News,,VA
AOS004430,Glendale,Maricopa County,AZ
AOS004431,Brockton,Plymouth County,MA
AOS004433,Salinas,Monterey,CA
AOS004436,Louisville,Jefferson County,KY
AOS004442,Plainfield,Union County,NJ
AOS004453,Chelsea,Suffolk County,MA
AOS004456,Sacramento,Sacramento County,CA
AOS004464,Washington,,DC
AOS004467,San Francisco,San Francisco County,CA
AOS004468,Baltimore,,MD
AOS004471,Birmingham,Jefferson County,AL
AOS004477,Clayton,St. Louis County,MO
AOS004480,Pittsfield,Berkshire County,MA
AOS004484,South Bend,St. Joseph County,IN
AOS004492,Freeport,Nassau County,NY
AOS006749,Wilmington,New Hanover County,NC
AOS006750,Springfield,Hampden County,MA
AOS006751,Miami Gardens,Miami-Dade County,FL
AOS006752,Baton Rouge,East Baton Rouge Parish,LA
AOS006753,Tampa,Hillsborough County,FL
AOS006754,Pleasantville,Atlantic County,NJ
AOS006755,Boston,Suffolk County,MA
AOS006756,Somerville,Middlesex County,MA
AOS006757,Greenville,Pitt County,NC
AOS006758,Little Rock,Pulaski County,AR
AOS006759,East Palo Alto,San Mateo County,CA
AOS006760,Richmond,Contra Costa County,CA
AOS006761,Denver,Denver County,CO
AOS006762,Bridgeport,Fairfield County,CT
AOS006763,New Haven,New Haven County,CT
AOS006764,Wilmington,New Castle County,DE
AOS006765,Jacksonville,Duval County,FL
AOS006766,Riviera Beach,Palm Beach County,FL
AOS006767,Chicago,Cook County,IL
AOS006768,Everett,Middlesex County,MA
AOS006769,New Bedford,Bristol County,MA
AOS006770,Minneapolis,Hennepin County,MN
AOS006771,Kansas City,"Cass County, Platte County, Clay County, Jackson County",MO
AOS006772,St. Louis,St. Louis County,MO
AOS006773,Omaha,Douglas County,NE
AOS006774,Atlantic City,Atlantic County,NJ
AOS006775,Piscataway,Middlesex County,NJ
AOS006776,Neptune,Monmouth County,NJ
AOS006777,Freehold,Monmouth County,NJ
AOS006778,Asbury Park,Monmouth County,NJ
AOS006779,Elmont,Nassau County,NY
AOS006780,Hempstead,Nassau County,NY
AOS006781,Long Beach,Nassau County,NY
AOS006782,New York City,"Richmond County, Queens County, Bronx County, Kings County, New York County",NY
AOS006783,Syracuse,Onandaga County,NY
AOS006784,Cincinnati,Hamilton County,OH
AOS006785,Columbia,"Lexington County, Richland County",SC
AOS006786,Jackson,Madison County,TN
AOS006787,Milwaukee,Milwaukee County,WI
AOS006788,Rocky Mount,"Nash County, Edgecombe County",NC
AOS006789,Cambridge,Middlesex County,MA
AOS006790,Toledo,Lucas County,OH
AOS006791,Montgomery,Montgomery County,AL
AOS006792,Tampa,Hillsborough County,FL
AOS006793,Gladeview,Miami-Dade County,FL
AOS006794,Lake Park,Palm Beach County,FL
AOS006795,Greenville,Pitt County,NC
AOS006796,East Orange,Essex County,NJ
AOS006797,Worcester,Worcester County,MA
AOS006798,Youngstown,Mahoning County,OH
AOS006799,Camden,Camden County,NJ
AOS006800,Redwood City,San Mateo County,CA
AOS006801,College Park,Prince George's County,MD
AOS007016,Camden,Camden County,NJ
AOS007045,Columbus,Franklin County,OH
AOS007145,Fresno,Fresno County,CA
AOS007168,Clayton,St. Louis County,MO
AOS007259,Sacramento,Sacramento County,CA
AOS007261,Savannah,Chatham County,GA
AOS007502,Redwood City,San Mateo County,CA
AOS007503,Albuquerque,Bernalillo County,NM
AOS007504,Oakland,Alameda County,CA
AOS007505,Springfield,Sangamon County,IL
AOS007506,Revere,Suffolk County,MA
AOS007507,Newark,Essex County,NJ
AOS007508,San Juan,San Juan Municipality,PR
AOS007509,Trujillo Alto,Trujillo Alto Municipality,PR
AOS007510,St. Croix,St. Croix Island,VI
AOS007511,St. Thomas,St. Thomas Island,VI
AOS007860,Hampton,,VA
AOS007877,Carrollton,Carroll County,GA
AOS007881,Glendale,Maricopa County,AZ
AOS008048,North Chicago,Lake County,IL
AOS008049,Monroe,Ouachita Parish County,LA
AOS008050,Kankakee,Kankakee County,IL
AOS008051,Ferguson,St. Louis County,MO
AOS008052,McKeesport,Allegheny County,PA
AOS008053,Mansfield,Richland County,OH
AOS008054,Freeport,Stephenson County,IL
AOS008725,Pittsburgh,Allegheny County,PA
AOS009255,Pittsburg,Contra Costa County,CA
AOS009275,Independence,Jackson County,MO
AOS009279,Winston-Salem,Forsyth County,NC
AOS009972,South Gate,Los Angeles County,CA
AOS009980,Nashville,Davidson County,TN
AOS009983,Memphis,Shelby County,TN
AOS009986,Pasadena,Los Angeles County,CA
AOS009987,Pompano Beach,Broward County,FL
AOS010010,Bell Gardens,Los Angeles County,CA
AOS010068,Detroit,Wayne County,MI
AOS011016,Yaphank,Suffolk County,NY
AOS011023,Pensacola,Escambia County,FL
AOS011184,Yaphank,Suffolk County,NY
AOS011554,Antioch,Contra Costa County,CA
AOS011638,Hallandale Beach,Broward County,FL
AOS011715,DeSoto,Dallas County,TX
AOS011716,Portsmouth,,VA
AOS004821,Chandler,Lincoln County,OK
AOS011521,Albany,Albany County,NY
AOS003784,Riverside,Riverside County,CA
AOS000167,Cleveland,Cuyahoga County,OH
AOS000169,Cleveland Heights,Cuyahoga County,OH
AOS000170,Euclid,Cuyahoga County,OH
AOS000171,Fairview Park,Cuyahoga County,OH
AOS000172,Garfield Heights,Cuyahoga County,OH
AOS000173,Independence,Cuyahoga County,OH
AOS000174,Lakewood,Cuyahoga County,OH
AOS000175,Lyndhurst,Cuyahoga County,OH
AOS000176,Maple Heights,Cuyahoga County,OH
AOS000177,Mayfield Heights,Cuyahoga County,OH
AOS000178,North Olmsted,Cuyahoga County,OH
AOS000179,Olmsted Township,Cuyahoga County,OH
AOS000180,Orange Village,Cuyahoga County,OH
AOS000181,Parma,Cuyahoga County,OH
AOS000182,Shaker Heights,Cuyahoga County,OH
AOS000183,Solon,Cuyahoga County,OH
AOS000184,South Euclid,Cuyahoga County,OH
AOS000185,Strongsville,Cuyahoga County,OH
AOS000186,University Circle,Cuyahoga County,OH
AOS000187,Woodmere,Cuyahoga County,OH
AOS006803,Edgewood,Harford County,MD
AOS009256,Erie,Erie County,PA
AOS009050,Beeville,Bee County,TX
AOS000510,Highland Heights,Campbell County,KY
AOS007771,Oswego,Oswego County,NY
AOS009106,Newport,Campbell County,KY
AOS009265,Oak RIdge North,Montgomery County,TX
AOS011669,Window Rock,Apache County,AZ
AOS011670,Shiprock,Apache County,NM
AOS011389,Tuxedo Park,Orange County,NY
AOS008727,Waterford,Oakland County,MI
AOS002327,Green Township,Hamilton County,OH
AOS002329,Harrison Township,Montgomery County,OH
AOS010074,Burleson,Milam County,TX
AOS003334,Green Lake,Green Lake County,WI
AOS000312,San Ramon,Contra Costa County,CA
AOS008265,College Park,Fulton County,GA
AOS011664,Grand Ronde,Polk County,OR
AOS008767,Guymon,"Texas County, Harper County, Cimmaron County, Beaver County",OK
AOS008768,Arapaho,"Washita County, Roger Mills County, Ellis County, Custer County, Beckham County",OK
AOS008769,Altus,"Tillman County, Kiowa County, Jackson County, Harmon County, Greer County",OK
AOS008770,Enid,"Kingfisher County, Grant County, Garfield County, Canadian County, Blaine County",OK
AOS008771,Lawton,"Cotton County, Comanche County",OK
AOS008772,Duncan,"Stephens County, Jefferson County, Grady County, Caddo County",OK
AOS008773,Oklahoma City,Oklahoma County,OK
AOS008774,Newkirk,"Noble County, Kay County",OK
AOS008775,Stillwater,"Payne County, Logan County",OK
AOS008776,Pawhuska,"Pawnee County, Osage County",OK
AOS008777,Nowata,"Washington County, Nowata County",OK
AOS008778,Claremore,"Rogers County, Mayes County, Craig County",OK
AOS008779,Miami,"Ottawa County, Delaware County",OK
AOS008780,Tulsa,Tulsa County,OK
AOS008781,Muskogee,Muskogee County,OK
AOS008782,Poteau,"LeFlore County, Latimer County",OK
AOS008783,Idabel,"Pushmataha County, McCurtain County, Choctaw County",OK
AOS008784,McAlester,"Pittsburg County, Haskell County",OK
AOS008785,Durant,"Coal County, Bryan County, Atoka County",OK
AOS008786,Ardmore,"Murray County, Marshall County, Love County, Johnston County, Carter County",OK
AOS008787,Pauls Valley,"McClain County, Garvin County, Cleveland County",OK
AOS008788,Ada,"Seminole County, Pontotoc County, Hughes County",OK
AOS008789,Chandler,"Pottawatomie County, Lincoln County",OK
AOS008790,Sapulpa,"Okfuskee County, Creek County",OK
AOS008791,Okmulgee,"Okmulgee County, McIntosh County",OK
AOS008792,Woodward,"Woodward County, Woods County, Major County, Dewey County, Alfalfa County",OK
AOS008793,Wagoner,"Wagoner County, Sequoyah County, Cherokee County, Adair County",OK
AOS008917,Stamford,Fairfield County,CT
AOS004474,Denver,Lancaster County,PA
AOS004828,Port Washington,Nassau County,NY
AOS008063,Hawthorne,Westchester County,NY
AOS011259,Croton-on-Hudson,Westchester County,NY
AOS011383,Rotterdam,Schenectady County,NY
AOS001663,Tonawanda,Erie County,NY
AOS004001,West Seneca,Erie County,NY
AOS001226,Lakeport,Lake County,CA
AOS002221,Covington,Newton County,GA
AOS004826,Stratford,Garvin County,OK
AOS005284,Biloxi,Harrison County,MS
AOS005285,Woodbury,Gloucester County,NJ
AOS005286,Hattiesburg,"Lamar County, Forrest County",MS
AOS005287,New Castle,Lawerence County,PA
AOS005288,Westwego,Jefferson Parish,LA
AOS005289,Chalmette,St. Bernard Parish,LA
AOS005290,Collins,Covington County,MS
AOS004814,Tahlequah,Cherokee County,OK
AOS006808,Liberty,Liberty County,TX
AOS009156,Cedar Hill,Dallas County,TX
AOS011234,Gilbertsville,Montgomery County,PA
AOS011672,Eagle Butte,Dewey County,SD
AOS011675,Browning,Glacier County,MT
AOS011696,Parker,Lapaz County,AZ
AOS011697,Peshawbestown,Leelanau County,MI
AOS011702,Rosebud,Todd County,SD
AOS011721,Florence,Lane County,OR
AOS009988,Crestview,Okaloosa County,FL
AOS009989,Leonardtown,Saint Mary's County,MD
AOS010101,Monterey,Monterey County,CA
AOS001166,Sebastian,Indian River County,FL
AOS001677,Greenville,Hunt County,TX
AOS001681,McKinney,Collin County,TX
AOS011415,Reading,Berks County,PA
AOS000278,Chandler,Maricopa County,AZ
AOS007689,Tonopah,Nye County,NV
AOS000795,Ceres,Stanislaus County,CA
AOS004440,Minneapolis,Hennepin County,MN
AOS004478,Fargo,Cass County,ND
AOS004508,Minneapolis,Hennepin County,MN
AOS004622,Coeur d'Alene,Kootenai County,ID
AOS004623,Coeur d'Alene,Kootenai County,ID
AOS004624,Post Falls,Kootenai County,ID
AOS006844,Medford,Jackson County,OR
AOS007002,Idaho Falls,Bonneville County,ID
AOS003022,Barron,Barron County,WI
AOS003051,Medora,Billings County,ND
AOS003363,Rogersville,Hawkins County,TN
AOS003492,Athens,Limestone County,AL
AOS003589,Christiansburg,Montgomery County,VA
AOS003598,Mount Carmel Township,Northumberland County,PA
AOS008278,Sandy Springs,Fulton County,GA
AOS011743,Lovelock,Pershing County,NV
AOS002256,Yreka,Siskiyou County,CA
AOS012023,Seguin,Guadalupe County,TX
AOS003085,Kearney,Buffalo County,NE
AOS003519,Bangor,Penobscot County,ME
AOS003081,Brunswick,Glynn County,GA
AOS003512,Loveland,Larimer County,CO
AOS003802,Lebanon,Russell County,VA
AOS008047,San Diego,San Diego County,CA
AOS002697,Bemidji,Beltrami County,MN
AOS000076,Bryan,Brazos County,TX
AOS000423,Middletown,Middlesex County,CT
AOS000491,Lansing,Cook County,IL
AOS000548,Jefferson City,Cole County,MO
AOS002630,Bemidji,Beltrami County,MN
AOS002632,Lino Lakes,Anoka County,MN
AOS002638,Roseville,Ramsey County,MN
AOS002649,Apple Valley,Dakota County,MN
AOS002653,St. Anthony,"Ramsey County, Hennepin County",MN
AOS002680,Bemidji,Beltrami County,MN
AOS002702,City of Brooklyn Center,Hennepin County,MN
AOS002846,Clearfield,Davis County,UT
AOS004347,Champaign,Champaign County,IL
AOS004386,Normal,McLean County,IL
AOS008753,Auburn Hills,Oakland County,MI
AOS010075,Joshua,Johnson County,TX
AOS012007,Valdez,Valdez-Cordova Borough,AK
AOS012015,Lubbock,Lubbock County,TX
AOS011647,Elizabeth,Union County,NJ
AOS011536,Montville,Morris County,NJ
AOS007532,Mt. Juliet,Wilson County,TN
AOS000801,Clearlake,Lake County,CA
AOS007827,Pittsburgh,Allegheny County,PA
AOS007855,Storrs,Tolland County,CT
AOS004475,Denver,Denver County,CO
AOS000773,Alhambra,Los Angeles County,CA
AOS000777,Arcata,Humboldt County,CA
AOS000787,Brisbane,San Mateo County,CA
AOS000790,Campbell,Santa Clara County,CA
