Wreck_Name,Wreck_No,Classification,Place_of_Loss,Date_of_Loss,DD_Lat,DD_Long,Source_of_Co_ordinate,Description,Record_Source,Date_of_Loss_Year_Only
Unknown,W00477,Barge,"Louth, Boyne, River/Drogheda Port turning circle, on the S bank, E of Stagrennan Polder. 053 43 09.14N, 006 18 30.22W.",Unknown,53.71921,-6.30839,National Monuments Service,"Four barges were visible within sloblands to the east of Stagrennan Polder up until February 2000. The four barges were recorded by Tully and Moran prior to three of them (W00477, W00478 and W00479) being broken up and reburied at the site during dredging for the turning circle at Drogheda port. Two barges (W00478 and W00479) lay end-to-end in the north of the area. Another barge (W00480) lies approximately 20m to the south. W00477 is described here. This was located immediately to the north of barges W00478 and W00479. It is a flat-bottomed vessel measuring L. 10.80m x B. 2.30m. The wreck lies sunken into the mud, with the lower hull of the wreck buried. The sides of the vessel are vertical and almost totally disintegrated down to the lower hull, although remains of strakes and framing were still visible at the time of survey. The bow is slightly curved in shape while the stern, which has broken away from the vessel, is rectangular in shape.","Brady 2008, 122; Tully & Moran 2000.",
Unknown,W00478,Barge,"Louth, Boyne,River /Drogheda Port turning circle, on the S bank, E of Stagrennan Polder. 053 43 09.14N, 006 18 30.22W",Unknown,53.71921,-6.30839,National Monuments Service,"Four barges were visible within sloblands to the east of Stagrennan Polder up until February 2000. The four barges were recorded by Tully and Moran prior to three of them (W00477, W00478, and W00479) being broken up and reburied at the site during dredging for the turning circle at Drogheda port. Two barges (W00478 and W00479) lay end-to-end in the north of the area and W00478 is described here. Adjacent, but slightly to the north of W00478 was another barge (W00477). The fourth barge (W00480) lies approximately 20m south of where the three barges were located. W00478 lies immediately to the west of W00479 and is a flat-bottomed vessel measuring L. 11.10m x B. 4.80m. The wreck lies sunken into the mud, with the lower hull of the wreck buried. The bow and stern could not be discerned at the time of survey. The sides of the vessel are vertical and almost totally disintegrated down to the lower hull, although remains of strakes and framing were still visible at the time of survey. The vessel was constructed using both wooden knees and iron straps, which survived in some places up to 90cm in height.","Brady 2008, 122; Tully & Moran 2000; National Monuments Service.",
Unknown,W00479,Barge,"Louth, Boyne,River/Drogheda Port turning circle, on the S bank, E of Stagrennan Polder. 053 43 09.14N, 006 18 30.22W",Unknown,53.71921,-6.30839,National Monuments Service,"Four barges were visible within sloblands to the east of Stagrennan Polder up until February 2000. The four barges were recorded by Tully and Moran prior to three of them (W00477, W00478, and W00479) being broken up and reburied at the site during dredging for the turning circle at Drogheda port. This wreck (W00479) is one of two barges lying end-to-end, with another barge (W00477) directly to the north. The fourth barge (W00480) lies approximately 20m south of where the three barges are located. W00479 lies immediately to the east of W00478 and was a flat-bottomed, rectangular vessel measuring L. 9.40m x B. 4.30m. The wreck lies sunken into the mud, with the lower hull of the wreck buried. The bow and stern could not be discerned at the time of survey. The sides of the vessel are vertical and almost totally disintegrated down to the lower hull, although remains of strakes and framing were still visible at the time of survey. The vessel was constructed using both wooden knees and iron straps, which survived in some places up to 43cm in height.","Brady 2008, 123; Tully & Moran 2000; National Monuments Service.",
Unknown,W00480,Barge,"Louth, Boyne, River / Drogheda Port turning circle, on the S bank, E of Stagrennan Polder. 053 43 09.14N, 006 18 30.22W",Unknown,53.71921,-6.30839,National Monuments Service,"Four barges were visible within sloblands to the east of Stagrennan Polder up until February 2000. The four barges were recorded by Tully and Moran prior to three of them (W00477, W00478 and W00479) being broken up and reburied at the site during dredging for the turning circle at Drogheda port. Two barges (W00478 and W00479) lay end-to-end in the north of the area. Adjacent to, but slightly to the south was the third barge (W00477). The fourth barge (W00480) lies approximately 20m south of the three above mentioned barges and is described here. It is the only barge that is presently visible. It is a flatbottomed vessel measuring L. 12.80m x B. 4.80m. The wreck lies sunken into the mud, with the lower hull of the wreck buried. The sides of the vessel are vertical and almost totally disintegrated down to the lower hull, although remains of strakes and framing were still visible at the time of survey. The bow is slightly curved in shape, while the stern has a rectangular shape. This wreck also had evidence for a deck and deck beams.","Brady 2008, 124; Tully & Moran 2000.",
Unknown,W18584,Logboat,"River Boyne, Oldbridge. Approximately 300m upstream of the Drogheda M1 suspension bridge",Prehistoric,53.71856,-6.40177,National Monuments Service,"In June 2016 four anglers (Stephen Murphy, accompanied by Kieran Mahar, William Gregory and David Johnston) discovered the remains of a logboat while fishing a tidal stretch of the River Boyne at Oldbridge, Co. Meath. The logboat was found lying up-side-down mid-channel in the river approximately 300m upstream of the Drogheda M1 suspension bridge. Only the floor of the boat survives; it has an overall length of 3.12m,is parallel-sided in plan and has a maximum surviving width of 75cm. It is likely to be the case that the boat originally had a rounded bow and stern, flat longitudinal floor and slightly rounded transverse cross section. It it likely to have been at least 4m in length and very probably longer. There is no evidence for tool marks or other features on the boat. Both bark and sapwood are absent. Neither end of the boat survives intact but the bow is normally the narrower end of the vessel with logboats in Ireland. The floor is slightly rounded in transverse section and measures 12cm in thickness near the stern and is 9.5cm thick in the middle of the boat. The underside of the stern end of the boat is badly eroded and uneven as this side lay exposed on the riverbed and is marked with a number of circular hollows and depressions. These were probably caused by the scouring of riverine stones or pebbles on its surface whereas the opposite end or bow is smooth and rounded and appears to be the original under surface of the boat. Due to the fragility of the boat it was decided in collaboration with the National Museum of Ireland to recover the boat from the river for safe keeping. The boat is currently undergoing treatment by the NMI’s Conservation Unit. Recently a sample was sent to the 14Chrono Centre in Queen's University Belfast which provided a date of circa 3300BC-2900BC. This logboat is one of only 11 logboats known to have been found in the Boyne but more importantly it is one of only 7 other examples known from Ireland to date to the Neolithic period (c.4000 -2500 BC).",Brady 2016; Underwater Archaeology Unit Wreck Files,
Unknown,W11419,Logboat,"(Co. Louth) River Boyne, Co Meath, Rathmullen, upstream of Drogheda near fording point.",Unknown,53.7171,-6.3852,National Monuments Service,"The remains of a logboat or wooden trough were found by anglers in the River Boyne. The logboat/trough were recovered by the UAU and NMI and it is currently being conserved by the National Museum of Ireland. 
----------------------------",National Monuments Service.,
Patrolcus (SS),W07544,Steamship,"Slyne Head, Co Galway, offshore",4/11/40,53.71667,-14.68333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"ASS, 35; BCMS 1939-45, 174; BVLS 1939-45, 5; DS, 146; Larn & Larn 2002 DOD 1990 Ed., 544; LCWLR 1939-45, 150; SIC Vol 2, 145; SRN Vol 2, 170; Hocking 1989, 544; Lloyd's List 39, 312, Wednesday 6th November 1940.",1940
Heemskerk (SS),W09720,Steamship,W Approaches to the British Isles Admiralty Chart,26/01/1941,53.71667,-16.11667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 309.",1941
Sulairia (SS),W10072,Steamship,"Achill Head, 410 miles W. of",25/09/1940,53.71667,-20.16667,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 39, 277, Thursday 26th September 1940; Lloyd's List 30, 278, Friday 27th September 1940.",1940
Unknown,W11425,Logboat,"Droghda, south side of the Boyne, Marsh Road.",Unknown,53.71613,-6.33103,National Monuments Service,"Logboat found and excavated (96E160) by Donald Murphy during main drainage works in 1996.
----------------------------","Murphy 1996,431-45",
Unknown,W18585,Logboat,"River Boyne, Ballsgrove, Drogheda, Co. Meath",Unknown,53.71517,-6.35917,Underwater Archaeology Unit,Logboat.,UAU Wreck Files,
Unknown,W18567,Unknown,"River Boyne, Drogheda. 20m east of the Bridge of Peace.",Unknown,53.7149,-6.35733,National Monuments Service,The remains of a large metal wreck are visible at low tide lying on the riverbed near the quay wall.,National Monuments Service,
Eilean Glas,W09608,Unknown,"Bettystown Strand, Louth",2/5/80,53.70879,-6.24183,National Monuments Service,"Fishing vessel went ashore.
----------------------------",National Monuments Service,1980
Unknown,W00522,Unknown,"Meath, c. 9 miles E of Bettystown. 53 42 12N, 005 59 13W.",Unknown,53.70333,-5.98694,UKHO,UKHO wreck number 009101329. Wreck.,"Brady 2008, 136; UKHO Wreck Data 1996.",
Unknown,W10286,Unknown,Unknown,Unknown,53.7,-5.35,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W00527,Unknown,"Meath, c. 23.5 miles E of Bettystown. 53 41 52N, 005 34 36W",Unknown,53.69778,-5.57667,UKHO,"UKHO wreck number 009101500. Fisherman’s fastener, possible wreck.","Brady 2008, 136; UKHO Wreck Data 1996.",
Unknown,W00524,Unknown,"Meath, c. 17 miles E of Bettystown. 53 41 15N, 005 46 15W.",Unknown,53.6875,-5.77083,UKHO,UKHO wreck number 009101287. Wreck.,UKHO Wreck Data 1996.,
Sea Dog (MV),W10026,Unknown,W Approaches to the British Isles Admiralty Chart,28/08/2008,53.68717,-13.81767,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,2008
Sea Dog MV,W10027,Unknown,W approaches to Ireland,16/12/1998,53.68717,-13.81833,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1998
Unknown,W00526,Unknown,"Meath, c. 23 miles E of Laytown. 53 41 00N, 005 34 55W.",Unknown,53.68333,-5.58194,UKHO,"UKHO wreck number 009101494. Fisherman’s fastener, possible wreck.","Brady 2008, 136; UKHO Wreck Data 1996.",
Unknown,W00525,Unknown,"Meath, c. 18 miles E of Laytown. 53 40 50N, 005 45 10W.",Unknown,53.68056,-5.75278,UKHO,UKHO wreck number 009101433. Wreck.,"Brady 2008, 136; UKHO Wreck Data 1996.",
Roussalka (SS),W06846,Yacht,"Frehil Island, 2 miles from W point of/ Bloodslate Rocks, near Fraebl Isl., Killary Harbour, 53 40 25N, 009 58 10W",Between 1/8/1933 and 1/9/1933,53.67361,-9.96944,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"UKHO Wreck Data 1996; Bourke 1994, 188; Bourke 1998, 164; Lloyd’s List, No. 37, 101; Mon. 28th Aug. 1933, 6, c.21; Lloyd’s List, No. 37, 102; Tue. 29th Aug. 1933, 6, c.20; Lloyd’s List, No. 37, 103; Wed. 30th Aug. 1933, 6, c.19-20; Lloyd’s List, No. 37, 104; Thursday 31st Aug. 1933, 6, c.18; Lloyd’s List, No. 37, 105; Fri. 1st Sept. 1933, 6, c.20; Lloyd’s List, No. 37, 105; Fri. 1st Sept. 1933, 6, c.20; Lloyd’s List, No. 37, 106; Sat. 2nd Sept. 1933, 4, c.19; Lloyd’s List, No. 37, 108; Tue. 5th Sept. 1933, 6, c.19.",1933
Unknown,W00523,Unknown,"Meath, c. 9 miles E of Laytown. 53 40 24N, 005 58 50W.",Unknown,53.67333,-5.98056,UKHO,"UKHO wreck number 009100829. Possible metal vessel, lot of metal material on seabed in this area.",UKHO Wreck Data 1996.,
Unknown,W06925,Unknown,"White Strand, Tallavbaun, Murrrisk Peninsula, Mayo / 53 40 13N, 009 54 41W.",Between 1/1/1700 and 31/12/1900,53.67028,-9.91139,UKHO Wreck Data,We regret that we are unable to supply descriptive details for this record at present.,National Museum of Ireland TF; UKHO Wreck Data 1996.,1900
Empire Statesman (MV),W09629,Unknown,W Approaches to the British Isles Admiralty Chart,11/12/40,53.66667,-17,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1940
Unknown,W10283,Unknown,Unknown,Unknown,53.66306,-5.30694,UKHO,We regret that we are unable to supply descriptive details for this record at present.,UKHO2.,
U-1051,W00502,Submarine,"Meath, c. 31.5 miles E of Ben Head. 53 39 19N, 005 19 56W.",26/01/1945,53.65533,-5.33222,UKHO,"UKHO wreck no. 009100763. Chart symbol 65wk. 871-ton German submarine depth-charged and sunk by HM ships Aylmer, Calder, Bentinck, assisted by HMS Bligh. Wreck measures L. 220ft x B. 20ft x H. 16ft, lies in general depth of 75m. Orientated 1758/3358, lying on port side. Possibly intact.","Brady 2008, 134; UKHO Wreck Data 1996.",1945
Unknown,W00528,Unknown,"Meath, c. 30 miles E of Ben Head. 53 39 19N, 005 22 10W.",Unknown,53.65528,-5.36944,UKHO,"UKHO wreck number 009101718. Chart symbol 77wk. Small object, approximately 2m long, 1m high. General depth 80m, possible wreck.","Brady 2008, 136; UKHO Wreck Data 1996.",
Unknown,W10282,Unknown,Unknown,Unknown,53.65,-5.3,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown 'Gormanston Logboat',W11625,Logboat,"Gormanston Strand, c 800m  E of. Co. Meath",Prehistoric,53.64867,-6.2066,Brady 2002,"Bronze age logboat discovered during the construction of a gas pipeline.
----------------------------",Brady 2002.,
Unknown,W00481,Unknown,"Meath, Bremore, 5.5 miles E by N. 053 38 12.372N, 06 02 37.248W",Unknown,53.63677,-6.04368,INSS,"Wreck identified (INSS No. G 126) during the National Seabed Survey. Wreck measures L. 16m, W. 5m with a height of 2m off the seabed. It lies in a general sea depth of 21m.","Brady 2008, 124; INSS.",
Unknown,W00471,Barge,"Meath, approximately 3 miles N of Skerries. 53 38 4.704N, 06 03 52.632W",Unknown,53.63464,-6.06462,INSS,"UKHO wreck no. 009000136. Chart symbol USC 17. One of two large iron barges lying side by side in a general sea depth of 19m. Still intact standing upright, 4m high.","Brady 2008, 120; INSS; UKHO Wreck Data 1996.",
Unknown,W00472,Barge,"Meath, approximately 3 miles N of Skerries. 53 38 4.704N, 06 03 52.632W",Unknown,53.63464,-6.06462,INSS,"UKHO wreck no. 009000136. Chart symbol USC 17. One of two large iron barges lying side by side in a general sea depth of 19m. The vessel is still intact standing upright, 4m high.","Brady 2008, 120; INSS; UKHO Wreck Data 1996.",
Bell Hill,W00543,Barque,"Meath, Bremore, Newhaven Point, 300 yards from shore.",26/02/1875,53.62767,-6.186,National Monuments Service,"500-ton iron barque of Liverpool. Built in Seacombe in 1866, official no. 29,998. Classed A1 by Lloyd’s. Owned by John Banks Walmley of Liverpool, master was Edward Edgar. En route from Liverpool to Valparaiso, sixteen crew, general cargo. Encountered strong ESE gale, foggy conditions. Fog cleared, Balbriggan lighthouse seen c. 4 miles off starboard bow. Vessel began to drift ashore. Port, starboard anchors dropped to prevent drifting, but dragged. Struck ground 800 yards from shore. Drifted onto rocks off New Haven Point, c. 300 yards from high-water mark. Rockets fired by coastguard in an attempt to rescue crew. Crew appeared ignorant of the workings of the apparatus, made no effort to save themselves. Masts fell overboard, vessel began to break up rapidly. Crew thrown into the water, three were rescued. Two died soon after from exposure. Court inquiry was unable to arrive at any conclusion as to why the Belle Hill became wrecked. Cargo salvaged from wreck, including bar iron, gas pipes, pipes, kegs of paint, bales of bedsteads, 11 tonnes of iron. Wreck sold for £293 at auction. Locals salvaged some cargo. Seven bodies recovered and buried at old Balrothery cemetery, although local tradition states that some of the Belle Hill victims were buried in the cairn on the shore edge at Newhaven. Framing timbers of the vessel remained visible in the sand until the 1950s.","Bourke 1994, 12; Brady 2008, 143; Condrot et al. 1984, 52; de Courcy Ireland 1983, 93; Saunders Newsletters, 26th February 1875, London Times; Lloyd's List 18, 986, Sat. Feb. 27th 1875; Lloyd's List 18, 987, Mon. Mar. 1st 1875; Lloyd's List 18, 988, Tues. Mar. 2nd 1875; Lloyd's List 18, 990, Thurs. Mar. 4th 1875; Lloyd's List 18, 996, Thurs. Mar. 11th 1875; Lloyd's List 18, 996, Thurs. Mar. 11th 1875; Lloyd's List 19, 003, Fri. Mar. 19th 1875; Lloyd's List 19, 004, Sat. Mar. 20th 1875; Lloyd's List 19, 007, Weds. Mar. 24th 1875; Lloyd's List 19, 040, Mon. May 3rd 1875; Lloyd's List 19, 045, Sat. May 8th 1875; Lloyd's List 19, 051, Sat. May 15th 1875; Lloyd's List 19, 060, Weds. May 26th 1875; Lloyd's List 19, 071, Tues. June 8th 1875; Lloyd's List 19, 141, Sat. Aug. 28th 1875; PP 1875, LXX, 421; Times (London) 28, 250, 27th February 1875.",1875
Wisemans,W11695,Unknown,Unknown,11/3/84,53.625,-5.49167,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1984
Unknown,W13983,Unknown,"Achill Head, c. 250 miles W of",23/06/1945,53.61667,-16.23333,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 40, 737, Tuesday 26th June 1945.",1945
Downshire (SS),W01996,Steamship,"Dublin, Rockabill 5.5 miles ENE / 8 miles ESE / 53 36 56.72N, 005 51 18.41W",21/09/1918,53.61603,-5.85511,GSI_260; UKHO,"UKHO wreck no. was 009100696. Chart symbol 56wk. 368 ton steam ship of Belfast en route from Whitehaven to Dublin with a cargo of coal. Built in 1905 by Mackie & Thomson, Glasgow. Captain was Harvey. Captured by German submarine UB-64, sunk by gunfire. Wreckage examined in March 1984 is possibly the Downshire. Lies in general depth of 57m. Wreckage consists of one main section orientated E-W, L.15m x B.3m x H.1m. Two other sections lie within 50m. GSI _260.","Brady 2008, 374; BVLS 1914-18, 97; GSI Wreck Data; UKHO Wreck Data 1996, .",1918
Unknown,W10295,Unknown,Unknown,Unknown,53.61556,-5.32694,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Sharelga (FV),W10033,Unknown,Unknown,18/04/1982,53.61415,-5.45443,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1982
Unknown,W02216,Unknown,"Dublin, c. 2.5 miles ENE of Rockabill. 53 36 30N, 05 56 00W",Unknown,53.60833,-5.93333,UKHO,UKHO wreck no. 0099100726. Wreck lies in general depth of 35m.,"Brady 2008, 398; UKHO Wreck Data 1996.",
Salaminia (SS) (probably),W02082,Steamship,"Dublin, Rockabill, 13.5 miles ENE of / 53 36 10N, 005 37 33W",29/03/1918,53.60278,-5.62583,UKHO,"UKHO wreck no. 009100623. Chart symbol 85wk. 3,112 ton Greek steam ship built in 1897 by J. Readhead & Sons, South Shields. Originally named as the Trevilly. Owned by A. A. Embiricos of Greece. Torpedoed, sunk by a German submarine. Wreck lies upright and intact orientated NW/SE in a general sea depth of 97m (least depth 86m). Measures L. 80m x B. 15m x H. 10m. Scour depth of 1.5m.","Brady 2008, 384; Hocking 1969, 613; King 1976; Larn & Larn 2002, UKHO Wreck Data 1996.",1918
Marquis (SS),W02050,Steamship,"Dublin, Rockabill, 16 miles ESE, 53 36 03N, 05 30 22W",8/11/17,53.60083,-5.50611,UKHO,"UKHO wreck no. 009100660. Chart symbol 105wk. 373 ton British steam ship captured by a German submarine, sunk by gunfire. Lies intact in a general sea depth of 108m (least depth 105m), orientated N/S. Measures L. 33m x B. 7m x Ht. 3m. Scour depth of 1.5m. Debris located on either side of wreck.","Brady 2008, 380; UKHO Wreck Data 1996.",1917
Barrister (SS),W06373,Steamship,Inishark Island,4/1/43,53.6,-10.3,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"UKHO Wreck Data 1996; Bourke 1994, 183; Bourke 1998, 164; Hocking, 1969, 72.",1943
Saugor (SS),W10017,Steamship,W Approaches to the British Isles Admiralty Chart,27/08/1941,53.6,-16.66667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 624; BVLS 1939-45, 26.",1941
Glenford (possibly) (SS),W02022,Steamship,"Dublin, c. 25 miles E of Skerries / 53 35 51N, 005 21 22W / Rockabill, 24 miles E ½ S",20/03/1918,53.5975,-5.35611,UKHO,"UKHO wreck no. 009100817. Chart symbol 69wk. 494-ton British steamship captured by German submarine U 101, sunk by gunfire. Wreck surveyed in April 1984, possibly that of the Glenford. Lies in a general sea depth of 78m (least depth 69m), orientated E/W. Partially covered with sand, measures L. 50m x W. 40m x Ht. 3.2m.","Brady 2008, 377; BVLS 1914-18, 84; UKHO Wreck Data 1996.",1918
Normandiet (SS) (possibly),W02061,Steamship,"Dublin, Rockabill, c.16 miles E of / 53 35 42N, 05 33 39W / Calf of Man, 34 miles SW by W",21/04/1918,53.595,-5.56083,UKHO,"UKHO wreck no. 009101391. Chart symbol 93wk. 1,843 ton British steam ship torpedoed and sunk by German submarine U-91. Surveyed in March 1984. Lies in a general sea depth of 102m (least depth 93m). Wreck is intact, lying on her side orientated NW/SE. Measures L. 65m x B. 10m x H. 8m. Scour depth of 1m.","Brady 2008, 381; BVLS 1914-18, 87; Hocking 1989, 512; UKHO Wreck Data 1996.",1918
Unknown,W02217,Unknown,"Dublin, c. 22 miles E of Rockabill. 53 35 29N, 05 22 40W",Unknown,53.59139,-5.37778,UKHO,"UKHO wreck no. 009100684. Chart symbol OB 77. Possible wreck. Surveyed in March 1984. Obstruction orientated N–S. Lies in a general sea depth of 80m (least depth 77.9m). Measures L. 3–4m, H. 1.7m.","Brady 2008, 398; UKHO Wreck Data 1996.",
St. Ibor,W10055,Fishing boat,"Skerries, 17km East",29/10/1973,53.57388,-5.86055,INFOMAR Wreck Data; GSI Wreck No_261; UKHO,We regret that we are unable to supply descriptive details for this record at present.,INFOMAR Wreck Data; GSI Wreck No_261; UKHO,1973
Unknown,W18553,Unknown,"Skerries Islands, off. 720m ENE of Shenick Island",Unknown,53.5736,-6.06733,GSI Wreck Data (GSI Wreck No_356),"Wreck discovered during INFOMAR seabed survey (Survey leg CB13_01) in 2013. Wreck measures 19m long and 5m in width. It lies in a general water depth of 9m.
----------------------------",GSI Wreck Data.,
Unknown,W18529,Logboat,"(Co. Westmeath) Lough Owel, circa 50m west of Church Island.",Unknown,53.56798,-7.37433,National Monuments Service,"Logboat discovered by divers from Lough Ree Subaqua Club during a trainee dive. The logboat is reported to be almost fullly intact and lies in 5-6m of water buried in lake muds. It measures 12-14ft in length.
----------------------------",Report by Fergal McElgunn 08/10/2015.,
Unknown,W18554,Unknown,"Skerries Islands, near. 1.9km E by S of Shenick Island",Unknown,53.5654,-6.05067,GSI Wreck Data (GSI Wreck No_358),"Wreck discovered during INFOMAR seabed survey (Survey leg CB13_01) in 2013. Wreck measures 17m long and 6m in width. It lies in a general water depth of 16.5m.
----------------------------",GSI Wreck Data.,
Verity,W06643,Barque,"Aughros Point / High Island or Omey Island, near Clifden,Near",05/01/1880,53.55417,-10.19328,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 20, 498, 7th January 1880, 10; Lloyd's List 20, 504, 14th January 1880, 10; Bourke 1994, 184; PP 1881, Vol. LXXXII, 111.",1880
Polwell (SS),W02067,Collier,"Dublin, Rockabill lighthouse, 6 miles E by S½S / Skerries, 5 miles NE of / 53 33 12N, 005 55 56.4W",5/6/18,53.55333,-5.93233,GSI_255,"UKHO wreck no. 009100714. Chart symbol 25.3sw/25wk. 2,013 ton, 30 year old British collier built in Troon. Previously called the Northumbria, the Syra and the Deutsche Kaiser. Torpedoed, sunk by German submarine U-96 en route from Troon to France, cargo of coal. No loss of life. 

Wreck lies intact and upright wreck in a general sea depth of 35m (least depth 25.4m). The wreck measures 92m in length, 11.4m in width and 8.34m in maximum height. It is orientated NE–SW on the seafloor, with its bow to the NE. Part of the cargo of coal is reported to be still present on the wreck.","Brady 2008, 382; Brady, McKeon, Lyttleton, Lawler 2012, 100-101; BVLS 1914-18, 91; GSI Wreck Data; Tennent 1990, 47; UKHO Wreck Data 1996.",1918
Noranya (MFV),W09908,Fishing boat,"Skerries, 22.5nm east of",7/7/06,53.55125,-5.48015,UKHO,Caught fire during a thick fog and sank. Crew escaped.,UKHO,2006
Unknown,W02215,Unknown,"Dublin, c. 20 E of Skerries. 53 32 57N, 05 37 12W",Unknown,53.54917,-5.62,UKHO,UKHO wreck no. 009101597. This wreck was shown in decca on 14/7/83. A dual-channel side scan survey was carried out in 1984 but nothing was found.,"Brady 2008, 397; UKHO Wreck Data 1996.",
Unknown (SS),W02209,Steamship,"Dublin, Loughshinny, approximately 12km east of. 53 32 47N, 005 53 55W",Unknown,53.54639,-5.89861,UKHO,UKHO wreck no. 009101378. Possibly wreck of a steamboat. Nothing found during search in 1984.,"Brady 2008, 397; UKHO Wreck Data 1996.",
Geraldine (FV),W02021,Ketch,"Dublin, Howth, 10 miles E / Lambay Island, 10 miles E / 53 32 30N, 05 44 30W",30/03/1918,53.54167,-5.74167,UKHO,35/61-ton fishing smack sunk by German submarine. All five crew drowned including the skipper.,"Brady 2008, 377; Bourke 1998, 57 & 162; Larn & Larn 2002; BVLS 1914-18, 122; Seán T. Rickard (Pers. Comm.); UKHO.",1918
St. Michan (FV) (possibly),W02078,Trawler,"Dublin, Lambay Island, 10 miles NE / 10 miles E / 53 32 25N, 5 43 42W",30/03/1918,53.54028,-5.72833,GSI_262; UKHO,"UKHO wreck no. 009100647. Chart symbol 66wk. A 43-ton British trawler captured and sunk by gunfire by German submarine U-96. No loss of life. Wreck lies intact, upright, orientated E–W in a general sea depth of 72m (least depth 67m). Measures L. 28m, B. 6m, H. 6m. Scour depth of 2m. UKHO notes that wreckage ‘appears to be too large for a 43-ton trawler’.","Bourke 1998, 58; Brady 2008, 383; BVLS 1914-18, 122; GSI Wreck Data; UKHO Wreck Data 1996.",1918
Unknown,W10281,Unknown,Unknown,Unknown,53.53333,-5.45,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Peaceful Star (possibly) (SS),W02065,Steam Drifter,"Dublin, Rockabill, lighthouse, 15 miles ESE of / 53 31 32N, 5 36 14W",14/03/1941,53.52556,-5.60389,UKHO,"UKHO wreck no. 009100532. Chart symbol 92wk. 94 tons British steam drifter bombed, sunk by German aircraft. Wreck lies intact, partially buried, orientated N/S in a general sea depth of 94m (least depth 92m). Measures L. 17m x B. 4m x Ht. 2.5m.","Brady 2008, 382; UKHO Wreck Data 1996.",1941
Cresswell (SS),W01992,Steel Steamship,"Dublin, Kish Light Vessel, 18 mile E by N ½ N, 53 31 10N, 005 29 55W.",5/2/18,53.51944,-5.49861,UKHO,"UKHO wreck no. 009101421. Chart symbol 96 wk. A 2,829-ton steel steamship of Greenock, en route from Glasgow to Gibraltar with a cargo of coal. Built in 1917 by Gray, W. & Co. Ltd. in West Hartlepool. Torpedoed and sunk by German submarine U-46. No lives lost. Lies in a general sea depth of 107m (least depth 97m). Wreck measures L. 70m x B. 16m x H. 11m. Lies intact, upside-down, orientated NE–SW.","Brady 2008, 374; BVLS 1914-18, 80; Larn & Larn 2002, UKHO Wreck Data 1996.",1918
Nellie Esplin,W00786,Fishing boat,"Dublin, Lambay Island, c.1.5 miles NE of 53 31N 5 59W",20/11/1924,53.51667,-5.98333,UKHO,UKHO wreck no. 009100593. Dublin fishing vessel foundered.,"Brady 2008, 177; Lloyd's List 34, 415, 28th November 1924; UKHO Wreck Data 1996.",1924
County of Lancaster (SS),W00748,Steamship,"Dublin, Lambay Island NE of 53 30 45N, 5 57 21.6W",12/11/01,53.5125,-5.956,GSI_326,"UKHO wreck no. 009101627. Chart symbol SW 26.7. 98-ton steamer of Glasgow lost en route from Carnlough/Ayr to Dundalk. Crew of eight drowned. The body of Captain Henry Murray washed ashore at Greystones, Co. Wicklow. Wreck identified by divers in 1996 when bell recovered. The coaster lies intact and upright on the seabed in a general depth of 28m. Cargo of coal still present. Vessel is orientated NNW/SSE, measures L. 34m x B. 6m x H. 5.1m. GSI wreck no GSI_326.","Brady 2008, 171; Freeman’s Journal, Dublin, Fri. Nov. 15th 1901, Vol. CXXXV, 6, c8; GSI Wreck Data; Lloyd's List 20, 025, 16th November 1901, 7; Lloyd's List 20, 046, 11th December 1901, 9, UKHO Wreck Data 1996.",1901
Unknown,W02213,Unknown,"Dublin, c. 10 miles ENE of Lambay, 53 30 33N, 05 45 26W.",Unknown,53.50917,-5.75722,UKHO,UKHO wreck no. 009100568. Wreckage spread over a large area.,"Brady 2008, 397; UKHO Wreck Data 1996.",
Daleby (SS),W05615,Steamship,"Cork, Fastnet, 180 miles NW.",29/04/1917,53.50817,-13.0835,www.wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1969, 177; BVLS 1919, 47; www.uboat.net; www.wrecksite.eu.",1917
